Stock Name,SYMBOL
ICICI BANK LTD.,ICICIBANK
LIC HOUSING FINANCE LTD,LICHSGFIN
STATE BANK OF INDIA,SBIN
BHARTI AIRTEL LIMITED,BHARTIARTL
LARSEN & TOUBRO LTD.,LT
NBCC (INDIA) LIMITED,NBCC
KAJARIA CERAMICS LTD,KAJARIACER
PIRAMAL ENTERPRISES LTD,PEL
PETRONET LNG LIMITED,PETRONET
PVR LIMITED,PVR
TATA CHEMICALS LTD,TATACHEM
TATA MOTORS LIMITED,TATAMOTORS
TATA MOTORS DVR 'A' ORD,TATAMTRDVR
SUN TV NETWORK LIMITED,SUNTV
